"Region","Variable","Lag","r","n*","n","2.5%
  CI*","97.5% CI*"
"Connecticut","NAOI",0,"0.31","9.00",9,"-0.45","0.81"
"Connecticut","NAOI",1,"0.48","9.00",9,"-0.27","0.87"
"Connecticut","NAOI",2,"0.05","9.00",9,"-0.63","0.69"
"Connecticut","NAOI",3,"-0.57","9.00",9,"-0.90","0.15"
"Connecticut","NAOI",4,"0.13","9.00",9,"-0.59","0.73"
"Connecticut","NAOI",5,"0.32","9.00",9,"-0.44","0.81"
"Connecticut","NAOI",6,"0.45","9.00",9,"-0.31","0.86"
"Connecticut","NAOI",7,"0.40","8.30",9,"-0.41","0.85"
"Connecticut","NAOI",8,"0.26","8.60",9,"-0.51","0.80"
"Connecticut","Predators",0,"-0.21","8.80",9,"-0.77","0.53"
"Connecticut","Predators",1,"-0.36","7.40",9,"-0.87","0.50"
"Connecticut","Predators",2,"-0.62","6.60",9,"-0.94","0.29"
"Connecticut","Predators",3,"-0.63","5.90",9,"-0.95","0.38"
"Connecticut","Predators",4,"-0.73","5.30",9,"-0.98","0.34"
"Connecticut","Predators",5,"-0.65","6.00",9,"-0.96","0.34"
"Connecticut","Predators",6,"-0.67","4.90",9,"-0.98","0.55"
"Connecticut","Predators",7,"-0.38","5.70",9,"-0.92","0.66"
"Connecticut","Predators",8,"-0.07","6.10",9,"-0.83","0.77"
"Connecticut","Temperature",0,"-0.36","9.00",9,"-0.83","0.40"
"Connecticut","Temperature",1,"0.05","9.00",9,"-0.63","0.69"
"Connecticut","Temperature",2,"-0.18","9.00",9,"-0.75","0.55"
"Connecticut","Temperature",3,"-0.47","9.00",9,"-0.86","0.29"
"Connecticut","Temperature",4,"-0.44","9.00",9,"-0.85","0.32"
"Connecticut","Temperature",5,"-0.78","8.30",9,"-0.96","-0.18"
"Connecticut","Temperature",6,"-0.61","8.20",9,"-0.92","0.15"
"Connecticut","Temperature",7,"-0.38","8.80",9,"-0.84","0.39"
"Connecticut","Temperature",8,"0.19","9.00",9,"-0.54","0.76"
"Connecticut","Effort",-3,"0.57","7.30",21,"-0.29","0.92"
"Connecticut","Effort",-2,"0.71","7.20",21,"-0.06","0.95"
"Connecticut","Effort",-1,"0.83","7.00",21,"0.22","0.97"
"Connecticut","Effort",0,"0.81","6.80",21,"0.13","0.97"
"Connecticut","Effort",1,"0.49","9.20",21,"-0.25","0.87"
"Connecticut","Effort",2,"0.40","8.70",21,"-0.37","0.85"
"Connecticut","Effort",3,"0.39","7.70",21,"-0.45","0.87"
"Georges Bank","NAOI",0,"-0.28","23.30",26,"-0.62","0.15"
"Georges Bank","NAOI",1,"-0.36","20.80",26,"-0.69","0.08"
"Georges Bank","NAOI",2,"-0.29","23.40",26,"-0.63","0.13"
"Georges Bank","NAOI",3,"-0.16","25.10",26,"-0.52","0.25"
"Georges Bank","NAOI",4,"-0.09","25.10",26,"-0.46","0.32"
"Georges Bank","NAOI",5,"-0.06","21.60",26,"-0.47","0.38"
"Georges Bank","NAOI",6,"-0.12","22.40",26,"-0.52","0.31"
"Georges Bank","NAOI",7,"-0.10","22.10",26,"-0.50","0.33"
"Georges Bank","NAOI",8,"-0.03","21.20",26,"-0.45","0.41"
"Georges Bank","Predators",0,"-0.08","13.90",26,"-0.59","0.47"
"Georges Bank","Predators",1,"-0.02","13.80",26,"-0.55","0.52"
"Georges Bank","Predators",2,"0.05","15.10",26,"-0.47","0.55"
"Georges Bank","Predators",3,"0.15","15.60",26,"-0.38","0.60"
"Georges Bank","Predators",4,"0.26","15.40",26,"-0.28","0.67"
