"Variable","Lag","Intercept","B_temperature","B_temperature-squared","NA"
"NAOI",0,"1.04 (1.26)","-0.20 (0.26)","0.010 (0.012)",0.433653534350585
"NAOI",1,"0.67 (1.42)","-0.14 (0.29)","0.008 (0.014)",0.564987415777597
"NAOI",2,"2.03 (1.24)","-0.41 (0.26)","0.020 (0.012)",0.0976738664916202
"NAOI",3,"1.86 (0.98)","-0.38 (0.20)","0.018 (0.009)",0.0521665481510728
"NAOI",4,"0.70 (0.96)","-0.17 (0.19)","0.010 (0.009)",0.27000533577847
"NAOI",5,"0.62 (1.00)","-0.15 (0.20)","0.009 (0.010)",0.33120711636573
"NAOI",6,"0.24 (0.94)","-0.08 (0.19)","0.006 (0.009)",0.518549371414752
"NAOI",7,"0.11 (1.03)","-0.02 (0.21)","0.003 (0.010)",0.790687304592627
"NAOI",8,"1.71 (1.03)","-0.30 (0.21)","0.014 (0.010)",0.160380246110397
"Predators",0,"-1.04 (1.20)","0.16 (0.24)","-0.008 (0.011)",0.490358475483457
"Predators",1,"-1.33 (1.33)","0.24 (0.27)","-0.012 (0.013)",0.356381780887283
"Predators",2,"-1.69 (1.17)","0.33 (0.23)","-0.017 (0.011)",0.118480508238953
"Predators",3,"-2.88 (1.16)","0.58 (0.23)","-0.028 (0.011)",0.0114342617229498
"Predators",4,"-2.09 (1.16)","0.42 (0.23)","-0.021 (0.011)",0.0555571326782323
"Predators",5,"-1.90 (1.10)","0.39 (0.22)","-0.020 (0.011)",0.0633709638647449
"Predators",6,"-1.15 (1.10)","0.25 (0.23)","-0.013 (0.011)",0.23132200877405
"Predators",7,"-1.76 (1.04)","0.39 (0.21)","-0.019 (0.010)",0.0639078980726362
"Predators",8,"-0.32 (1.03)","0.11 (0.21)","-0.006 (0.010)",0.534717602564333
"Temperature",0,"-0.70 (1.04)","0.11 (0.21)","-0.003 (0.010)",0.734058799481321
"Temperature",1,"-0.76 (1.14)","0.11 (0.23)","-0.004 (0.010)",0.732018445202
"Temperature",2,"-0.85 (1.35)","0.13 (0.27)","-0.005 (0.013)",0.696229777634055
"Temperature",3,"-1.02 (1.23)","0.19 (0.24)","-0.008 (0.011)",0.45948424031899
"Temperature",4,"-1.11 (1.23)","0.21 (0.24)","-0.009 (0.011)",0.430609112232713
"Temperature",5,"-1.65 (1.25)","0.33 (0.25)","-0.015 (0.012)",0.196159893805095
"Temperature",6,"-1.11 (1.18)","0.20 (0.24)","-0.009 (0.011)",0.433581573835009
"Temperature",7,"-0.42 (1.13)","0.06 (0.23)","-0.003 (0.011)",0.78346376357416
"Temperature",8,"0.80 (1.00)","-0.17 (0.20)","0.008 (0.010)",0.414050148884651
"Effort",-3,"-0.22 (1.45)","0.06 (0.30)","0.000 (0.015)",0.983378683770702
"Effort",-2,"0.02 (1.48)","0.00 (0.31)","0.005 (0.015)",0.743148900499263
"Effort",-1,"0.54 (1.09)","-0.11 (0.25)","0.010 (0.013)",0.413367205650779
"Effort",0,"0.50 (1.38)","-0.06 (0.31)","0.006 (0.015)",0.688121814130854
"Effort",1,"0.85 (1.48)","-0.09 (0.32)","0.005 (0.016)",0.754907069463893
"Effort",2,"0.25 (1.46)","0.04 (0.31)","-0.002 (0.015)",0.907023019946887
"Effort",3,"-0.28 (1.43)","0.15 (0.30)","-0.007 (0.015)",0.631556245781491
