year,nao
1950,1.4
1951,-1.26
1952,0.83
1953,0.18
1954,0.13
1955,-2.52
1956,-1.73
1957,1.52
1958,-1.02
1959,-0.37
1960,-1.54
1961,1.8
1962,-2.38
1963,-3.6
1964,-2.86
1965,-2.88
1966,-1.69
1967,1.28
1968,-1.04
1969,-4.89
1970,-1.89
1971,-0.96
1972,0.34
1973,2.52
1974,1.23
1975,1.63
1976,1.37
1977,-2.14
1978,0.17
1979,-2.25
1980,0.56
1981,2.05
1982,0.8
1983,3.42
1984,1.6
1985,-0.63
1986,0.5
1987,-0.75
1988,0.72
1989,5.08
1990,3.96
1991,1.03
1992,3.28
1993,2.67
1994,3.03
1995,3.96
1996,-3.78
1997,-0.17
1998,0.72
1999,1.7
2000,2.8
2001,-1.9
2002,0.76
2003,0.2
2004,-0.07
2005,0.12
2006,-1.09
2007,2.79
2008,2.1
2009,-0.41
2010,-4.64
2011,-1.57
