"region","year","variable","value"
"Connecticut",1992,"prey",50.12
"Connecticut",1993,"prey",54.625
"Connecticut",1994,"prey",43.275
"Connecticut",1995,"prey",53.91
"Connecticut",1996,"prey",49.62
"Connecticut",1997,"prey",113.495
"Connecticut",1998,"prey",86.5
"Connecticut",1999,"prey",86.73
"Connecticut",2000,"prey",56.34
"Connecticut",2001,"prey",40.92
"Connecticut",2002,"prey",20.59
"Connecticut",2003,"prey",16.3
"Connecticut",2004,"prey",10.77
"Connecticut",2005,"prey",7.75
"Connecticut",2006,"prey",5.38
"Connecticut",2007,"prey",6.52
"Georges Bank",1982,"prey",1719020
"Georges Bank",1983,"prey",1706160
"Georges Bank",1984,"prey",1776940
"Georges Bank",1985,"prey",1590990
"Georges Bank",1986,"prey",1448180
"Georges Bank",1987,"prey",1586240
"Georges Bank",1988,"prey",1938790
"Georges Bank",1989,"prey",1739180
"Georges Bank",1990,"prey",1968510
"Georges Bank",1991,"prey",1893800
"Georges Bank",1992,"prey",1654550
"Georges Bank",1993,"prey",1677740
"Georges Bank",1994,"prey",2146410
"Georges Bank",1995,"prey",1930910
"Georges Bank",1996,"prey",1801370
"Georges Bank",1997,"prey",2444130
"Georges Bank",1998,"prey",2436140
"Georges Bank",1999,"prey",1962540
"Georges Bank",2000,"prey",1977900
"Georges Bank",2001,"prey",2909700
"Georges Bank",2002,"prey",4087030
"Georges Bank",2003,"prey",5304760
"Georges Bank",2004,"prey",5636550
"Georges Bank",2005,"prey",5380300
"Georges Bank",2006,"prey",4803460
"Georges Bank",2007,"prey",3912250
"Gulf of Maine",1982,"prey",44836500
"Gulf of Maine",1983,"prey",41517200
"Gulf of Maine",1984,"prey",51399500
"Gulf of Maine",1985,"prey",50179600
"Gulf of Maine",1986,"prey",46114400
"Gulf of Maine",1987,"prey",45294400
"Gulf of Maine",1988,"prey",57193100
"Gulf of Maine",1989,"prey",64260200
"Gulf of Maine",1990,"prey",65107800
"Gulf of Maine",1991,"prey",68263600
"Gulf of Maine",1992,"prey",69596900
"Gulf of Maine",1993,"prey",74464200
"Gulf of Maine",1994,"prey",78991100
"Gulf of Maine",1995,"prey",76635600
"Gulf of Maine",1996,"prey",81057700
"Gulf of Maine",1997,"prey",89494300
"Gulf of Maine",1998,"prey",96286700
"Gulf of Maine",1999,"prey",109212800
"Gulf of Maine",2000,"prey",102545700
"Gulf of Maine",2001,"prey",102345400
"Gulf of Maine",2002,"prey",108770600
"Gulf of Maine",2003,"prey",113596300
"Gulf of Maine",2004,"prey",125266400
"Gulf of Maine",2005,"prey",126312600
"Gulf of Maine",2006,"prey",114620600
"Gulf of Maine",2007,"prey",107296800
"Massachusetts",1986,"prey",12.36
"Massachusetts",1987,"prey",2.6
