"region","type","year","combined.value","units","data.type","variables"
"Connecticut","Climate",1950,1.4,"","","nao"
"Connecticut","Climate",1951,-1.26,"","","nao"
"Connecticut","Climate",1952,0.83,"","","nao"
"Connecticut","Climate",1953,0.18,"","","nao"
"Connecticut","Climate",1954,0.13,"","","nao"
"Connecticut","Climate",1955,-2.52,"","","nao"
"Connecticut","Climate",1956,-1.73,"","","nao"
"Connecticut","Climate",1957,1.52,"","","nao"
"Connecticut","Climate",1958,-1.02,"","","nao"
"Connecticut","Climate",1959,-0.37,"","","nao"
"Connecticut","Climate",1960,-1.54,"","","nao"
"Connecticut","Climate",1961,1.8,"","","nao"
"Connecticut","Climate",1962,-2.38,"","","nao"
"Connecticut","Climate",1963,-3.6,"","","nao"
"Connecticut","Climate",1964,-2.86,"","","nao"
"Connecticut","Climate",1965,-2.88,"","","nao"
"Connecticut","Climate",1966,-1.69,"","","nao"
"Connecticut","Climate",1967,1.28,"","","nao"
"Connecticut","Climate",1968,-1.04,"","","nao"
"Connecticut","Climate",1969,-4.89,"","","nao"
"Connecticut","Climate",1970,-1.89,"","","nao"
"Connecticut","Climate",1971,-0.96,"","","nao"
"Connecticut","Climate",1972,0.34,"","","nao"
"Connecticut","Climate",1973,2.52,"","","nao"
"Connecticut","Climate",1974,1.23,"","","nao"
"Connecticut","Climate",1975,1.63,"","","nao"
"Connecticut","Climate",1976,1.37,"","","nao"
"Connecticut","Climate",1977,-2.14,"","","nao"
"Connecticut","Climate",1978,0.17,"","","nao"
"Connecticut","Climate",1979,-2.25,"","","nao"
"Connecticut","Climate",1980,0.56,"","","nao"
"Connecticut","Climate",1981,2.05,"","","nao"
"Connecticut","Climate",1982,0.8,"","","nao"
"Connecticut","Climate",1983,3.42,"","","nao"
"Connecticut","Climate",1984,1.6,"","","nao"
"Connecticut","Climate",1985,-0.63,"","","nao"
"Connecticut","Climate",1986,0.5,"","","nao"
"Connecticut","Climate",1987,-0.75,"","","nao"
"Connecticut","Climate",1988,0.72,"","","nao"
"Connecticut","Climate",1989,5.08,"","","nao"
"Connecticut","Climate",1990,3.96,"","","nao"
"Connecticut","Climate",1991,1.03,"","","nao"
"Connecticut","Climate",1992,3.28,"","","nao"
"Connecticut","Climate",1993,2.67,"","","nao"
"Connecticut","Climate",1994,3.03,"","","nao"
"Connecticut","Climate",1995,3.96,"","","nao"
"Connecticut","Climate",1996,-3.78,"","","nao"
"Connecticut","Climate",1997,-0.17,"","","nao"
"Connecticut","Climate",1998,0.72,"","","nao"
"Connecticut","Climate",1999,1.7,"","","nao"
"Connecticut","Climate",2000,2.8,"","","nao"
"Connecticut","Climate",2001,-1.9,"","","nao"
"Connecticut","Climate",2002,0.76,"","","nao"
"Connecticut","Climate",2003,0.2,"","","nao"
"Connecticut","Climate",2004,-0.07,"","","nao"
"Connecticut","Climate",2005,0.12,"","","nao"
"Connecticut","Climate",2006,-1.09,"","","nao"
"Connecticut","Climate",2007,2.79,"","","nao"
"Connecticut","Climate",2008,2.1,"","","nao"
"Connecticut","Climate",2009,-0.41,"","","nao"
"Connecticut","Climate",2010,-4.64,"","","nao"
"Connecticut","Climate",2011,-1.57,"","","nao"
"Connecticut","Climate",2012,3.17,"","","nao"
"Connecticut","Climate",NA,-1.97,"","","nao"
"Connecticut","effort",1981,15815,"#","stockassessment","lob.trap"
"Connecticut","effort",1982,14831,"#","stockassessment","lob.trap"
"Connecticut","effort",1983,19998,"#","stockassessment","lob.trap"
"Connecticut","effort",1984,66709,"#","stockassessment","lob.trap"
"Connecticut","effort",1985,65262,"#","stockassessment","lob.trap"
"Connecticut","effort",1986,65826,"#","stockassessment","lob.trap"
"Connecticut","effort",1987,70646,"#","stockassessment","lob.trap"
"Connecticut","effort",1988,79154,"#","stockassessment","lob.trap"
"Connecticut","effort",1989,83915,"#","stockassessment","lob.trap"
"Connecticut","effort",1990,100360,"#","stockassessment","lob.trap"
"Connecticut","effort",1991,101290,"#","stockassessment","lob.trap"
"Connecticut","effort",1992,107668,"#","stockassessment","lob.trap"
"Connecticut","effort",1993,115224,"#","stockassessment","lob.trap"
"Connecticut","effort",1994,110805,"#","stockassessment","lob.trap"
"Connecticut","effort",1995,119983,"#","stockassessment","lob.trap"
"Connecticut","effort",1996,130360,"#","stockassessment","lob.trap"
"Connecticut","effort",1997,133770,"#","stockassessment","lob.trap"
"Connecticut","effort",1998,158527,"#","stockassessment","lob.trap"
"Connecticut","effort",1999,162149,"#","stockassessment","lob.trap"
"Connecticut","effort",2000,122386,"#","stockassessment","lob.trap"
"Connecticut","effort",2001,121501,"#","stockassessment","lob.trap"
"Connecticut","effort",2002,117731,"#","stockassessment","lob.trap"
"Connecticut","effort",2003,85048,"#","stockassessment","lob.trap"
"Connecticut","effort",2004,84071,"#","stockassessment","lob.trap"
"Connecticut","effort",2005,83946,"#","stockassessment","lob.trap"
"Connecticut","effort",2006,90421,"#","stockassessment","lob.trap"
"Connecticut","effort",2007,81792,"#","stockassessment","lob.trap"
"Connecticut","environment",1991,14.8,"deg C","","temp.lists"
"Connecticut","environment",1992,13.95,"deg C","","temp.lists"
"Connecticut","environment",1993,13.55,"deg C","","temp.lists"
"Connecticut","environment",1994,12.6,"deg C","","temp.lists"
"Connecticut","environment",1995,14.275,"deg C","","temp.lists"
"Connecticut","environment",1996,13.64,"deg C","","temp.lists"
"Connecticut","environment",1997,13.84,"deg C","","temp.lists"
"Connecticut","environment",1998,15.1,"deg C","","temp.lists"
"Connecticut","environment",1999,14,"deg C","","temp.lists"
"Connecticut","environment",2000,14.3,"deg C","","temp.lists"
"Connecticut","environment",2001,14.815,"deg C","","temp.lists"
"Connecticut","environment",2002,15.15,"deg C","","temp.lists"
"Connecticut","environment",2003,14.09,"deg C","","temp.lists"
"Connecticut","environment",2004,14.16,"deg C","","temp.lists"
"Connecticut","environment",2005,14.215,"deg C","","temp.lists"
"Connecticut","environment",2006,15.535,"deg C","","temp.lists"
"Connecticut","environment",2007,14.525,"deg C","","temp.lists"
"Connecticut","environment",2008,14.32,"deg C","","temp.lists"
"Connecticut","environment",2009,14.615,"deg C","","temp.lists"
"Connecticut","predator",1984,5.44,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1985,3.72,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
"Connecticut","predator",1986,3.11,"#/tow","trawlsurvey","longhorn.abund , smoothdog.abund , strbass.abund , tautog.abund"
