"variable","year","value","type","category","units","region","average.var.name","data.type"
"cod.abund",1963,5.5635,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1964,3.8698,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1965,5.2408,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1966,3.5705,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1967,2.4716,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1968,4.0532,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1969,2.7708,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1970,4.6315,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1971,4.4293,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1972,8.7534,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1973,5.3762,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1974,4.0458,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1975,5.7914,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1976,4.4241,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1977,3.2672,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1978,6.2857,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1979,3.7435,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1980,6.5537,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1981,5.575,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1982,7.7027,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1983,3.913,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1984,2.4718,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1985,2.8344,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1986,2.0351,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1987,2.9796,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1988,5.8953,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1989,4.1338,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1990,3.4729,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1991,1.1817,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1992,1.7513,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1993,1.4199,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1994,2.4348,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1995,3.0085,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1996,2.1274,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1997,1.7429,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1998,1.0832,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",1999,2.7376,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2000,2.4404,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2001,2.3633,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2002,4.7157,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2003,2.517,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2004,3.5088,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2005,1.5937,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2006,3.2532,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"cod.abund",2007,1.8495,"predator","groundfish","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1982,44836500,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1983,41517200,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1984,51399500,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1985,50179600,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
