"region","data.type","year","combined.value","units","variables"
"Connecticut","landings",1950,102.6,"t","lob.land.nmfs"
"Connecticut","landings",1951,141.9,"t","lob.land.nmfs"
"Connecticut","landings",1952,130.8,"t","lob.land.nmfs"
"Connecticut","landings",1953,143.7,"t","lob.land.nmfs"
"Connecticut","landings",1954,94.1,"t","lob.land.nmfs"
"Connecticut","landings",1955,102.3,"t","lob.land.nmfs"
"Connecticut","landings",1956,83,"t","lob.land.nmfs"
"Connecticut","landings",1957,83.1,"t","lob.land.nmfs"
"Connecticut","landings",1958,94.1,"t","lob.land.nmfs"
"Connecticut","landings",1959,106.9,"t","lob.land.nmfs"
"Connecticut","landings",1960,108,"t","lob.land.nmfs"
"Connecticut","landings",1961,93.7,"t","lob.land.nmfs"
"Connecticut","landings",1962,285.2,"t","lob.land.nmfs"
"Connecticut","landings",1963,213.8,"t","lob.land.nmfs"
"Connecticut","landings",1964,258.9,"t","lob.land.nmfs"
"Connecticut","landings",1965,337,"t","lob.land.nmfs"
"Connecticut","landings",1966,355.1,"t","lob.land.nmfs"
"Connecticut","landings",1967,409,"t","lob.land.nmfs"
"Connecticut","landings",1968,402.3,"t","lob.land.nmfs"
"Connecticut","landings",1969,423.1,"t","lob.land.nmfs"
"Connecticut","landings",1970,305.2,"t","lob.land.nmfs"
"Connecticut","landings",1971,237,"t","lob.land.nmfs"
"Connecticut","landings",1972,245,"t","lob.land.nmfs"
"Connecticut","landings",1973,246.5,"t","lob.land.nmfs"
"Connecticut","landings",1974,293.7,"t","lob.land.nmfs"
"Connecticut","landings",1975,269.4,"t","lob.land.nmfs"
"Connecticut","landings",1976,217.5,"t","lob.land.nmfs"
"Connecticut","landings",1977,289.6,"t","lob.land.nmfs"
"Connecticut","landings",1978,362.2,"t","lob.land.nmfs"
"Connecticut","landings",1979,366.4,"t","lob.land.nmfs"
"Connecticut","landings",1980,374.3,"t","lob.land.nmfs"
"Connecticut","landings",1981,458.5,"t","lob.land.nmfs"
"Connecticut","landings",1982,496.3,"t","lob.land.nmfs"
"Connecticut","landings",1983,841,"t","lob.land.nmfs"
"Connecticut","landings",1984,912.5,"t","lob.land.nmfs"
"Connecticut","landings",1985,760.2,"t","lob.land.nmfs"
"Connecticut","landings",1986,751.2,"t","lob.land.nmfs"
"Connecticut","landings",1987,787.3,"t","lob.land.nmfs"
"Connecticut","landings",1988,931.6,"t","lob.land.nmfs"
"Connecticut","landings",1989,951.1,"t","lob.land.nmfs"
"Connecticut","landings",1990,1200.1,"t","lob.land.nmfs"
"Connecticut","landings",1991,1212.9,"t","lob.land.nmfs"
"Connecticut","landings",1992,1106.6,"t","lob.land.nmfs"
"Connecticut","landings",1993,987.5,"t","lob.land.nmfs"
"Connecticut","landings",1994,1003.4,"t","lob.land.nmfs"
