"variable","year","value","type","category","units","region","average.var.name","data.type"
"lob.abund",1,1,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1,1,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1982,44836500,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1982,44836500,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1983,41517200,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1983,41517200,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1984,51399500,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1984,51399500,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1985,50179600,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1985,50179600,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1986,46114400,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1986,46114400,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1987,45294400,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1987,45294400,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1988,57193100,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1988,57193100,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1989,64260200,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1989,64260200,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1990,65107800,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1990,65107800,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1991,68263600,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1991,68263600,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1992,69596900,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1992,69596900,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1993,74464200,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1993,74464200,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1994,78991100,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1994,78991100,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1995,76635600,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1995,76635600,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1996,81057700,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1996,81057700,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1997,89494300,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1997,89494300,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1998,96286700,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1998,96286700,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",1999,109212800,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",1999,109212800,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",2000,102545700,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",2000,102545700,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",2001,102345400,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
"lob.abund",2001,102345400,"prey","invertebrate","#/tow","Gulf of Maine","","trawlsurvey"
"lob.abund",2002,108770600,"prey","invertebrate","Million","Gulf of Maine","","stockassessment"
