predator.variable,common.predator.variable
longhorn.abund,Longhorn sculpin
smoothdog.abund,Smooth dogfish
strbass.abund,Striped bass
tautog.abund,Tautog
cod.abund,Atlantic cod
hal.abund,Atlantic halibut
longsculp.abund,Longhorn sculpin
monk.abund,Monkfish
smoothsk.abund,Smooth skate
thorny.abund,Thorny skate
smsk.abund,Smooth skate
wolf.abund,Wolffish
cod.bio,Atlantic cod
hal.bio,Atlantic halibut
longsc.bio,Longhorn sculpin
monk.bio,Monkfish
smsk.bio,Smooth skate
thsk.bio,Thorny skate
wolf.bio,Wolffish
cusk.bio,Cusk
cod.abund.ridem,Atlantic cod
longhorn.abund.ridem,Longhorn sculpin
monk.abund.ridem,Monkfish
smoothdog.abund.ridem,Smooth dogfish
tautog.abund.ridem,Tautog
shortsc.bio,Shorthorn sculpin
whhake.bio,White hake
